Opportunity ID,Opportunity Name,Store Address,Store City,Store State,Store Zip,DD Deep Link
0063i000009FUFK,"Sizzler - Mount Vernon, Bakersfield (CA)",2650 Mount Vernon Ave,Bakersfield,CA,93306,https://www.doordash.com/store/1543960/?utm_source=partner-link&utm_medium=website&utm_campaign=1543960
0063i000009EmyN,Fazoli's - Knoxville (TN),9515 Kingston Pike,Knoxville,TN,37922,https://www.doordash.com/store/1712738/?utm_source=partner-link&utm_medium=website&utm_campaign=1712738
0063i000009Dfjx,Courtyard by Marriott - Madison (WI),2502 Crossroads Dr.,Madison,WI,53718,https://www.doordash.com/store/1476365/?utm_source=partner-link&utm_medium=website&utm_campaign=1476365
0063i00000BDOFb,REEF Kitchens - Denver (DEN04),13801 Grant St,Thornton,CO,80023,https://doordash.com/store/1562608/?utm_campaign=1562608&utm_medium=website&utm_source=partner-link
0063i00000BDOD1,REEF Kitchens - Baltimore (BAL12),6817 Belair Rd.,Baltimore,MD,21206,https://doordash.com/store/1629178/?utm_campaign=1629178&utm_medium=website&utm_source=partner-link
0063i00000BDOD2,REEF Kitchens - Nashville (NSH16),3004 Ambrose Ave,Nashville,TN,37207,https://doordash.com/store/1525755/?utm_campaign=1525755&utm_medium=website&utm_source=partner-link
0063i000009DWMH,Sizzler - Grants Pass (OR),1871 NE 7th Street,Grants Pass,OR,97526,https://www.doordash.com/store/1417291/?utm_source=partner-link&utm_medium=website&utm_campaign=1417291
0063i000009Ey3G,Fazoli's - Greenwood (IN),1695 Meridian Oaks Dr,Greenwood,IN,46142,https://www.doordash.com/store/wow-bao-greenwood-1526199/en-US
0063i000009FUH0,Sizzler - Stockton (CA),1862 E Hammer Ln,Stockton,CA,95210,https://www.doordash.com/en-CA/store/wow-bao-stockton-1539490
0063i000009DGTA,Renaissance Columbus - Westerville (OH),409 Altair Pkwy,Westerville,OH,43082,https://www.doordash.com/en-CA/store/wow-bao-westerville-1461688/
0063i000009E1Q7,Thai Topaz - San Antonio (TX),2177 NW Military Hwy,San Antonio,TX,78213,https://www.doordash.com/store/1485876/?utm_source=partner-link&utm_medium=website&utm_campaign=1485876
0063i000009DsfM,Uno Pizzeria - Revere (MA),339 Squire Road,Revere,MA,02151,https://www.doordash.com/en-CA/store/wow-bao-revere-1642357/
0063i000009DlDJ,REEF Kitchens - St Paul (MIN21),253 7th St W.,St. Paul,MN,55102,https://doordash.com/store/1558354/?utm_campaign=1558354&utm_medium=website&utm_source=partner-link
0063i000009FGSU,Sweet Onion Catering,11929 124th Avenue NE,Kirkland,WA,98034,https://www.doordash.com/en-CA/store/1559971/?utm_source=partner-link&utm_medium=website&utm_campaign=1559971
0063i000009FUFe,Sizzler - Merced (CA),1334 W Olive Ave,Merced,CA,95348,https://www.doordash.com/en-CA/store/wow-bao-merced-1543978
0063i00000BDOC0,REEF Kitchens - San Antonio (SAT01),11911 Crosswinds Way,San Antonio,TX,78233,https://www.doordash.com/store/1525776/en-US
0063i00000BDOF2,REEF Kitchens - Dallas (DAL10),3100 Dallas Pkwy,Plano,TX,75093,https://www.doordash.com/store/1526211
0063i00000BDOF3,REEF Kitchens - Denver (DEN02),5519 Mississippi Ave,Lakewood,CO,80226,https://doordash.com/store/1562791/?utm_campaign=1562791&utm_medium=website&utm_source=partner-link
0063i00000BDOFq,REEF Kitchens - Denver (DEN11),400 W 48th Ave,Denver,CO,80216,https://doordash.com/store/1562582/?utm_campaign=1562582&utm_medium=website&utm_source=partner-link
0063i000009DfBa,Ruby Tuesday - La Vale (MD),1238 National Hwy,La Vale,MD,21502,https://www.doordash.com/store/wow-bao-la-vale-1413036/
0063i000009DfBd,Ruby Tuesday - Charles Town (WV),701 Willow Spring Drive,Charles Town,WV,25414,https://www.doordash.com/store/wow-bao-charles-town-1412702/
0063i000009DfBe,Ruby Tuesday - Culpeper (VA),755 James Madison Highway,Culpeper,VA,22701,https://www.doordash.com/store/wow-bao-culpeper-1412691/
0063i000009DfBf,Ruby Tuesday - Arnot Mall (NY),3300 Chambers Rd STE 5055,Horseheads,NY,14845,https://www.doordash.com/store/wow-bao-horseheads-1412665/
0063i000009DfBg,Ruby Tuesday - Amsterdam (NY),4917 State Highway 30,Amsterdam,NY,12010,https://www.doordash.com/store/wow-bao-amsterdam-1412515/
0063i000009DfBh,Ruby Tuesday - Middletown (NY),41 Orange Plaza Lane,Middletown,NY,10940,https://www.doordash.com/store/wow-bao-middletown-1466811/
0063i000009DfBi,Ruby Tuesday - Carrier Circle (NY),6405 Yorktown Circle,East Syracuse,NY,13057,https://www.doordash.com/store/wow-bao-east-syracuse-1412651/
0063i000009DfBj,Ruby Tuesday - Waterville (ME),20 Waterville Commons Drive,Waterville,ME,04901,https://www.doordash.com/store/wow-bao-waterville-1412782/
0063i000009DfBk,Ruby Tuesday - Brewer (ME),5 Walton Drive,Brewer,ME,04412,https://www.doordash.com/store/wow-bao-brewer-1412676/
0063i000009DfBl,Ruby Tuesday - Oswego (NY),146 E. Thirteenth Street,Oswego,NY,13126,https://www.doordash.com/store/wow-bao-oswego-1412791/
0063i000009DfBo,Ruby Tuesday - Milford DE (DE),945 N Dupont Blvd,Milford,DE,19963,https://www.doordash.com/store/wow-bao-milford-1413058/
0063i000009DfBp,Ruby Tuesday - Pike Creek (DE),4732 Limestone Rd.,Wilmington,DE,19808,https://www.doordash.com/store/wow-bao-milford-1413058/
0063i000009DfBr,Ruby Tuesday - Cromwell Square (CT),50 Shunpike Road,Cromwell,CT,06416,https://www.doordash.com/store/wow-bao-cromwell-1441115/
0063i000009DfBs,Ruby Tuesday - Meriden Square (CT),470 Lewis Avenue,Meriden,CT,06451,https://www.doordash.com/store/wow-bao-meriden-1438558/
0063i000009DfBt,Ruby Tuesday - Lisbon (CT),"160 River Road, Suite A-200",Lisbon,CT,06351,https://www.doordash.com/store/wow-bao-lisbon-1441212/
0063i000009DfBu,Ruby Tuesday - Wrentham (MA),"1 Premium Outlets Blvd, Suite #800",Wrentham,MA,02093,https://www.doordash.com/store/wow-bao-wrentham-1412504/
0063i000009DfBw,Ruby Tuesday - Berkshire Mall (PA),1665 State Hill Road,Wyomissing,PA,19610,https://www.doordash.com/store/wow-bao-wyomissing-1438543/
0063i000009DfBx,Ruby Tuesday - Indiana (PA),1414 Indian Springs Rd.,Indiana,PA,15701,https://www.doordash.com/store/wow-bao-indiana-1441150/
0063i000009DfBy,Ruby Tuesday - Pottsville Park (PA),312 Pottsville Saint Clair Hwy,Pottsville,PA,17901,https://www.doordash.com/store/wow-bao-pottsville-1441269/
0063i000009DfBz,Ruby Tuesday - Lebanon (PA),1351 Quentin Road,Lebanon,PA,17042,https://www.doordash.com/store/wow-bao-lebanon-1441288/
0063i000009DfC0,Ruby Tuesday - Swatara (PA),3991 Paxton Street,Harrisburg,PA,17111,https://www.doordash.com/store/wow-bao-harrisburg-1441365/
0063i000009DfC1,Ruby Tuesday - Bloomsburg (PA),11 Ricky Ave,Bloomsburg,PA,17815,https://www.doordash.com/store/wow-bao-bloomsburg-1412567/
0063i000009DfC2,Ruby Tuesday - Manor (PA),1294 Millersville Pike,Lancaster,PA,17603,https://www.doordash.com/store/wow-bao-lancaster-1412766/
0063i000009DfC3,Ruby Tuesday - Plymouth Meeting (PA),2053 Chemical Road,Plymouth Meeting,PA,19462,https://www.doordash.com/store/wow-bao-plymouth-meeting-1447960/
